"Index","MSFT.Adjusted"
"2022-07-06","2022-07-06",262.571411132812
"2022-07-07","2022-07-07",264.7314453125
"2022-07-08","2022-07-08",264.001586914062
"2022-07-11","2022-07-11",260.894622802734
"2022-07-12","2022-07-12",250.20280456543
"2022-07-13","2022-07-13",249.265808105469
"2022-07-14","2022-07-14",250.607223510742
"2022-07-15","2022-07-15",253.211135864258
"2022-07-18","2022-07-18",250.774871826172
"2022-07-19","2022-07-19",255.982727050781
"2022-07-20","2022-07-20",258.685272216797
"2022-07-21","2022-07-21",261.220153808594
"2022-07-22","2022-07-22",256.801330566406
"2022-07-25","2022-07-25",255.292282104492
"2022-07-26","2022-07-26",248.456985473633
"2022-07-27","2022-07-27",265.066833496094
"2022-07-28","2022-07-28",272.631988525391
"2022-07-29","2022-07-29",276.902801513672
"2022-08-01","2022-08-01",274.210144042969
"2022-08-02","2022-08-02",271.063720703125
"2022-08-03","2022-08-03",278.609191894531
"2022-08-04","2022-08-04",279.773040771484
"2022-08-05","2022-08-05",279.043121337891
"2022-08-08","2022-08-08",276.488525390625
"2022-08-09","2022-08-09",278.441467285156
"2022-08-10","2022-08-10",285.207733154297
"2022-08-11","2022-08-11",283.096984863281
"2022-08-12","2022-08-12",287.920135498047
"2022-08-15","2022-08-15",289.458801269531
"2022-08-16","2022-08-16",288.709197998047
"2022-08-17","2022-08-17",287.948120117188
"2022-08-18","2022-08-18",286.811431884766
"2022-08-19","2022-08-19",282.837982177734
"2022-08-22","2022-08-22",274.535186767578
"2022-08-23","2022-08-23",273.240356445312
"2022-08-24","2022-08-24",272.597900390625
"2022-08-25","2022-08-25",275.622436523438
"2022-08-26","2022-08-26",264.986968994141
"2022-08-29","2022-08-29",262.160095214844
"2022-08-30","2022-08-30",259.926239013672
"2022-08-31","2022-08-31",258.443603515625
"2022-09-01","2022-09-01",257.385986328125
"2022-09-02","2022-09-02",253.096221923828
"2022-09-06","2022-09-06",250.318740844727
"2022-09-07","2022-09-07",255.102767944336
"2022-09-08","2022-09-08",255.527740478516
"2022-09-09","2022-09-09",261.398986816406
"2022-09-12","2022-09-12",263.563629150391
"2022-09-13","2022-09-13",249.073364257812
"2022-09-14","2022-09-14",249.300674438477
"2022-09-15","2022-09-15",242.539840698242
"2022-09-16","2022-09-16",241.907257080078
"2022-09-19","2022-09-19",241.689788818359
"2022-09-20","2022-09-20",239.643753051758
"2022-09-21","2022-09-21",236.184265136719
"2022-09-22","2022-09-22",238.19075012207
"2022-09-23","2022-09-23",235.16618347168
"2022-09-26","2022-09-26",234.701629638672
"2022-09-27","2022-09-27",233.673675537109
"2022-09-28","2022-09-28",238.279754638672
"2022-09-29","2022-09-29",234.751037597656
"2022-09-30","2022-09-30",230.204284667969
"2022-10-03","2022-10-03",237.953536987305
"2022-10-04","2022-10-04",245.999328613281
"2022-10-05","2022-10-05",246.315612792969
"2022-10-06","2022-10-06",243.933517456055
"2022-10-07","2022-10-07",231.528793334961
"2022-10-10","2022-10-10",226.596542358398
"2022-10-11","2022-10-11",222.800979614258
"2022-10-12","2022-10-12",223.13703918457
"2022-10-13","2022-10-13",231.528793334961
"2022-10-14","2022-10-14",225.914520263672
"2022-10-17","2022-10-17",234.780715942383
"2022-10-18","2022-10-18",235.739486694336
"2022-10-19","2022-10-19",233.742858886719
"2022-10-20","2022-10-20",233.41667175293
"2022-10-21","2022-10-21",239.317565917969
"2022-10-24","2022-10-24",244.388214111328
"2022-10-25","2022-10-25",247.758728027344
"2022-10-26","2022-10-26",228.642593383789
"2022-10-27","2022-10-27",224.12548828125
